"BehaviorSpace results (NetLogo 7.0.4),""Table version 2.0"""
Virus.nlogox
experimento_evolutivo
05/26/2026 18:57:23:470 -0500
"min-pxcor,""max-pxcor"",""min-pycor"",""max-pycor"""
"8,""10"",""16"",""11"""
"10,""10"",""8"",""10"""
"2,""10"",""24"",""1"""
"9,""10"",""11"",""10"""
"8,""10"",""17"",""11"""
"9,""10"",""12"",""10"""
"7,""10"",""21"",""9"""
"2,""10"",""25"",""1"""
"1,""10"",""3"",""10"""
"10,""10"",""9"",""10"""
"7,""10"",""22"",""8"""
"8,""10"",""18"",""11"""
"9,""10"",""13"",""10"""
"2,""10"",""26"",""1"""
"8,""10"",""19"",""11"""
"7,""10"",""23"",""7"""
"9,""10"",""14"",""11"""
"7,""10"",""24"",""8"""
"10,""10"",""10"",""10"""
"9,""10"",""15"",""11"""
"2,""10"",""27"",""1"""
"7,""10"",""25"",""7"""
"8,""10"",""20"",""12"""
"7,""10"",""26"",""7"""
"10,""10"",""11"",""10"""
"2,""10"",""28"",""1"""
"7,""10"",""27"",""6"""
"7,""10"",""28"",""6"""
"9,""10"",""16"",""11"""
"10,""10"",""12"",""10"""
"2,""10"",""29"",""1"""
"7,""10"",""29"",""4"""
"8,""10"",""21"",""2"""
"2,""10"",""30"",""1"""
"8,""10"",""22"",""2"""
"10,""10"",""13"",""10"""
"9,""10"",""17"",""11"""
"8,""10"",""23"",""2"""
"7,""10"",""30"",""4"""
"9,""10"",""18"",""11"""
"8,""10"",""24"",""2"""
"2,""10"",""31"",""1"""
"10,""10"",""14"",""10"""
"7,""10"",""31"",""4"""
"9,""10"",""19"",""11"""
"8,""10"",""25"",""2"""
"9,""10"",""20"",""12"""
"2,""10"",""32"",""0"""
"10,""10"",""15"",""10"""
"8,""10"",""26"",""2"""
"9,""10"",""21"",""2"""
"10,""10"",""16"",""10"""
"7,""10"",""32"",""3"""
"8,""10"",""27"",""2"""
"9,""10"",""22"",""2"""
"8,""10"",""28"",""2"""
"7,""10"",""33"",""2"""
"11,""20"",""0"",""10"""
"9,""10"",""23"",""2"""
"10,""10"",""17"",""10"""
"8,""10"",""29"",""2"""
"11,""20"",""1"",""10"""
"9,""10"",""24"",""2"""
"7,""10"",""34"",""2"""
"10,""10"",""18"",""10"""
"8,""10"",""30"",""2"""
"9,""10"",""25"",""2"""
"11,""20"",""2"",""11"""
"9,""10"",""26"",""2"""
"7,""10"",""35"",""3"""
"10,""10"",""19"",""10"""
"8,""10"",""31"",""2"""
"11,""20"",""3"",""11"""
"7,""10"",""36"",""3"""
"8,""10"",""32"",""1"""
"10,""10"",""20"",""10"""
"7,""10"",""37"",""2"""
"9,""10"",""27"",""2"""
"11,""20"",""4"",""11"""
"10,""10"",""21"",""0"""
"9,""10"",""28"",""2"""
"7,""10"",""38"",""2"""
"11,""20"",""5"",""11"""
"7,""10"",""39"",""2"""
"7,""10"",""40"",""2"""
"9,""10"",""29"",""2"""
"12,""20"",""0"",""10"""
"11,""20"",""6"",""11"""
"7,""10"",""41"",""2"""
"8,""10"",""33"",""1"""
"9,""10"",""30"",""2"""
"12,""20"",""1"",""10"""
"11,""20"",""7"",""11"""
"8,""10"",""34"",""1"""
"7,""10"",""42"",""2"""
